Country,Year,GDP [million Euro],Population,Emissions_GHG [thousand tonnes CO2eq],Emissions_NOx [tonne],Emissions_PM2.5 [tonne],Emissions_PM10 [tonne],Emissions_SOx [tonne],Emissions_NMVOC [tonne],Emissions_NH3 [tonne],Emissions_Pb [tonne],Emissions_Cd [tonne],Emissions_Hg [tonne],Emissions_As [tonne],Emissions_Ni [tonne],Emissions_Cr [tonne]
Cyprus,1992,NaN,603069,6230.91,19660,2710,5400,37620,12780,8660,26,0,0,0,7,0
Latvia,1992,NaN,2643000,6156.11,75860,26110,30630,69800,76450,25000,127,1,0,8,9,2
Lithuania,1992,NaN,3706299,25306.16,99780,9750,11820,112250,107280,58070,5,0,0,1,18,1
Luxembourg,1992,NaN,389600,12662.2,46620,14410,15420,16180,27270,5410,17,0,0,Not Available,Not Available,Not Available
Hungary,1992,NaN,10373647,75202.88,195430,56840,82720,715550,241600,93920,277,2,2,3,18,10
Malta,1992,NaN,365781,2512.04,8090,620,850,10900,4610,2210,0,0,0,0,4,0
Netherlands,1992,NaN,15129150,234536.81,633350,53520,74010,172990,523880,296660,238,3,3,1,78,12
Austria,1992,NaN,7798899,63641.64,215460,26480,40170,54200,306280,61230,140,1,2,0,0,0
Poland,1992,NaN,38309226,448992.34,1104400,287090,578770,2271370,826140,418930,550,10,15,80,180,53
Portugal,1992,NaN,9950029,61036.92,287950,74180,107510,366620,254820,76240,702,2,2,4,140,14
Romania,1992,NaN,22810035,161019.09,386380,61530,100310,696950,264480,268850,323,3,3,34,70,15
Slovenia,1992,NaN,1998912,12394.35,67240,13570,16080,193460,60260,22760,36,1,0,1,2,1
Slovakia,1992,NaN,5295877,46877.97,107660,81100,90590,132190,232540,43440,57,2,2,3,6,6
Finland,1992,86806.9,5029002,47220.58,287910,38960,60770,156200,217210,31850,165,3,1,18,52,48
Sweden,1992,NaN,8644120,35857.77,269920,43330,63990,94030,332340,59380,304,1,1,4,26,17
Norway,1992,101108.3,4273634,35626.76,199840,36650,46710,36750,350490,30170,130,1,1,3,0,12
