Country,Year,GDP [million Euro],Population,Emissions_GHG [thousand tonnes CO2eq],Emissions_NOx [tonne],Emissions_PM2.5 [tonne],Emissions_PM10 [tonne],Emissions_SOx [tonne],Emissions_NMVOC [tonne],Emissions_NH3 [tonne],Emissions_Pb [tonne],Emissions_Cd [tonne],Emissions_Hg [tonne],Emissions_As [tonne],Emissions_Ni [tonne],Emissions_Cr [tonne]
Slovenia,2006,31476.1,2003358,13489.94,54940,14650,18740,17090,46180,20240,6,1,0,1,2,2
Slovakia,2006,45602,5372928,41287.37,97700,32320,39980,84740,143410,30260,12,1,1,2,2,4
Finland,2006,172897,5255580,55373.94,223720,25700,43140,82910,140150,37020,25,1,1,3,28,25
Sweden,2006,337317.2,9047752,25081.48,187820,29350,48770,36150,199510,57020,10,1,1,1,16,11
Norway,2006,275414.7,4640219,32650.63,217480,35320,44320,21500,220960,30680,9,1,1,2,0,4
Switzerland,2006,353766.2,7459128,53209.96,92060,10340,17940,13310,111880,59520,20,1,1,0,0,0
United Kingdom,2006,2157333.5,60620361,684954.58,1709180,128280,203550,747730,1147410,274480,136,6,8,19,170,53
Belgium,2007,343618.9,10584534,137643.78,300500,32890,43240,123440,165380,74840,62,2,3,4,26,20
Bulgaria,2007,32444.5,7572673,52244.82,143350,30710,61470,824390,88590,47340,111,3,2,14,25,9
Czechia,2007,139002.1,10254233,145716.58,284060,42290,57330,212030,263880,100370,35,2,3,2,10,12
Denmark,2007,233383.3,5447084,75610.97,190050,24200,35100,27320,146380,84850,14,1,1,0,6,2
Germany,2007,2499550,82314906,968231.29,1607880,129960,236990,459110,1420610,610350,199,12,13,8,180,79
Estonia,2007,16401.3,1342920,19148.05,45370,12640,22750,88050,28080,10210,43,1,1,11,7,11
Ireland,2007,197069.4,4340118,75768.31,168260,18130,41010,54990,120300,114590,7,0,0,1,15,3
Greece,2007,232694.6,11036008,133685.75,481140,67540,124090,521670,287840,73210,65,8,3,3,57,7
Spain,2007,1075539,44784666,409287.5,1291220,149240,241780,1044030,742580,486000,134,9,6,14,128,32
France,2007,1941360,63645065,483212.28,1344400,204770,293930,405030,1352470,617710,140,4,5,11,118,44
Croatia,2007,44262.9,4313530,24872.1,91050,38770,53790,59990,110740,46220,10,1,1,1,12,4
Italy,2007,1614839.8,58223744,561551.26,1171410,204310,250890,347950,1286960,416300,296,8,11,29,84,50
Cyprus,2007,17591.1,757916,9681.31,21520,1920,3780,29380,15900,10250,1,0,0,0,12,0
Latvia,2007,22791.5,2208840,5684.47,45090,26970,37400,8140,52760,15110,172,1,0,17,6,3
Lithuania,2007,29011.2,3249983,19290.87,64030,8790,14300,22450,64060,38510,3,0,0,0,4,1
Luxembourg,2007,37641.9,476187,11918.36,46440,2100,2750,2440,12350,5550,2,0,0,0,0,0
Hungary,2007,102444.4,10066158,69766.08,168000,42040,63910,36090,146470,79530,10,1,1,3,4,13
Malta,2007,5790.3,405616,3132,10070,740,1460,12550,2550,1960,4,0,0,0,0,0
Netherlands,2007,619170,16357992,211206.1,393700,27340,40830,63560,262520,152220,36,4,1,1,10,4
Austria,2007,283978,8282984,81567.76,230900,21210,33670,23330,155670,61840,20,1,1,0,0,0
Poland,2007,313848.3,38125479,382944.01,904850,152670,276700,1106080,801430,348840,309,9,10,19,108,39
Portugal,2007,175483.4,10532588,66635.17,244860,61330,97220,157680,185040,64120,31,2,2,3,72,10
Romania,2007,127632,21130503,119593.25,309070,114570,157600,515730,304370,216290,65,4,3,7,19,18
Slovenia,2007,35073.5,2010377,13302.22,53530,16070,20470,15000,46170,20980,6,1,0,1,2,2
Slovakia,2007,56339.3,5373180,39966.47,96910,28360,35270,68950,138070,31510,12,1,1,1,2,4
Finland,2007,187072,5276955,62748.3,210840,24540,40980,81160,136420,36600,22,1,1,3,25,29
Sweden,2007,358945.1,9113257,30049.45,183410,29010,48660,31780,204830,56830,11,1,1,1,14,13
Norway,2007,293167,4681134,34234.94,220300,35490,45110,19670,214240,30620,8,1,0,2,0,4
Switzerland,2007,360651.5,7508739,52375.22,90750,9960,17690,11620,108890,60340,20,1,1,0,0,0
United Kingdom,2007,2259235.2,61073279,672372.9,1637550,121680,192030,651690,1107010,270680,124,5,7,19,171,49
Belgium,2008,351743.1,10666866,137635.28,272960,32580,42640,95460,157540,72640,72,2,4,3,20,19
Bulgaria,2008,37217.7,7518002,52672.97,145870,30560,58020,575480,88040,45880,179,3,1,5,8,9
Czechia,2008,162064.5,10343422,139353.05,267380,40950,55200,170070,259330,95240,30,2,3,2,9,11
Denmark,2008,241613.5,5475791,70593.37,173790,23390,39070,21230,143350,84030,14,1,1,0,5,2
Germany,2008,2546490,82217837,957277.19,1544860,126100,234050,453940,1358630,614310,174,11,11,8,174,78
Estonia,2008,16618.1,1338440,17323.76,42070,11830,18930,69490,26370,10670,37,1,1,9,6,9
Ireland,2008,187283,4457765,74760.87,153140,17840,38960,45640,116500,116600,7,0,0,1,14,3
Greece,2008,241990.4,11060937,128840.37,454840,64330,130940,449910,261420,70230,62,8,3,3,54,7
Spain,2008,1109541,45668939,375436.32,1087750,135570,212560,382170,675830,443450,128,8,5,13,117,30
France,2008,1992380,64007193,477907.3,1246640,197340,284240,346500,1272730,622920,125,4,5,12,115,42
Croatia,2008,48333.6,4311967,23766.03,87470,38410,55650,53460,109360,47920,9,1,1,1,10,3
Italy,2008,1637699.4,58652875,530476.15,1052190,216980,261240,293490,1264980,405660,277,7,11,22,71,48
Cyprus,2008,19009.6,776333,9725.22,19890,1880,3730,22250,14520,9650,1,0,0,0,12,0
Latvia,2008,24531.5,2191810,4845.45,41320,25960,36200,6600,47660,14750,162,1,0,16,6,2
Lithuania,2008,32660.1,3212605,17666.4,61910,9460,14390,19640,64270,36610,3,0,0,0,4,1
Luxembourg,2008,40009.6,483799,11787.34,43180,2020,2670,1790,13590,5610,2,0,0,0,0,0
Hungary,2008,108378.8,10045401,65953.27,162130,37810,66470,35670,137520,72890,11,1,1,3,3,13
Malta,2008,6206,407832,3083.79,9810,680,1200,10290,2210,1760,4,0,0,0,0,0
Netherlands,2008,647198,16405399,210411.56,388040,25920,39400,52940,256310,139530,30,4,1,1,10,4
Austria,2008,293761.9,8307989,82267.19,217850,20360,33190,20260,150370,61500,20,1,1,0,0,0
Poland,2008,366040.5,38115641,376608.09,876190,149580,271160,879900,822060,336570,304,9,10,18,102,39
Portugal,2008,179102.8,10553339,62625.8,227170,58770,97390,104370,175660,62060,30,2,2,3,66,10
Romania,2008,146590.6,20635460,115107.11,303000,133670,172410,522190,321600,213020,57,4,3,7,17,17
Slovenia,2008,37925.7,2010269,14275.72,57180,15850,19990,12680,44210,19760,6,1,0,1,2,2
Slovakia,2008,66098.1,5376064,41504.46,97800,25440,32230,67570,134520,29050,11,1,1,1,2,4
Finland,2008,194265,5300484,51592.58,193520,22810,38560,66830,120300,35750,20,1,1,3,22,27
Sweden,2008,354881.1,9182927,21820.08,176070,27550,46480,29470,195910,57000,9,1,0,1,13,10
Norway,2008,317021.5,4737171,31431.61,214080,34110,42810,19900,181350,30900,7,1,0,2,0,4
Switzerland,2008,389124.7,7593494,52442.62,90560,10000,17840,11720,106520,60260,19,1,1,0,0,0
United Kingdom,2008,1995854.5,61571647,650884.25,1469150,120160,183270,549770,1025590,255140,115,5,7,19,173,48
Belgium,2009,346472.8,10753080,125173.69,242480,29230,37940,74390,145340,72680,31,2,2,2,11,10
Bulgaria,2009,37417.7,7467119,43727.44,139340,29030,51200,442240,93790,44220,75,2,1,7,13,6
Czechia,2009,149586.5,10425783,130005.63,251650,41940,54850,168740,257580,87950,24,2,3,2,8,11
Denmark,2009,231278,5511451,67075.64,154590,21210,32250,15590,133380,79910,13,1,0,0,5,2
Germany,2009,2445730,82002356,882930.68,1454970,114410,216860,395720,1244950,616700,149,10,10,7,155,69
Estonia,2009,14131.9,1335740,12766.86,36330,9570,15450,54880,23590,9930,31,1,1,8,5,8
Ireland,2009,169519.7,4521322,68525.62,128490,17130,37630,32650,114070,116750,6,0,0,1,11,3
Greece,2009,237534.2,11094745,121550.48,434660,61670,120710,392330,249570,66020,61,8,3,3,58,6
Spain,2009,1069323,46239273,338099.11,971490,140600,209190,284430,617660,440450,114,8,4,13,99,28
France,2009,1936422,64350226,465827.4,1165570,184860,266700,293260,1197980,613780,99,3,5,8,107,36
Croatia,2009,45413.1,4309796,21382.6,80210,37830,52370,56210,95420,39680,9,1,1,1,12,3
Italy,2009,1577255.9,59000586,471359.59,964440,200910,239750,241080,1184350,390140,196,6,8,20,53,37
Cyprus,2009,18675.5,796930,9476.67,20030,1660,3260,17580,13370,9430,1,0,0,0,11,0
Latvia,2009,18922,2162834,7076.07,38730,27830,35600,6640,47640,15410,136,1,0,13,5,2
Lithuania,2009,26897,3183856,12392.2,52740,8330,13380,19400,59150,37840,2,0,0,0,4,1
Luxembourg,2009,39050.7,493500,11255.23,38490,1890,2610,1760,12460,5500,1,0,0,0,0,0
Hungary,2009,94638,10030975,61171.44,150920,48540,78150,29640,136780,70660,9,1,1,2,4,10
Malta,2009,6259.6,410926,2899.25,8620,460,1000,6520,3370,1720,4,0,0,0,0,0
Netherlands,2009,624842,16485787,204974.63,353530,23750,36850,39550,257580,137030,31,4,1,1,3,4
Austria,2009,288044,8335003,77125.83,204060,19220,31460,14750,137490,62920,18,1,1,0,0,0
Poland,2009,317040.6,38135876,358602.38,862210,143060,259460,745540,773810,324260,270,8,9,17,99,37
Portugal,2009,175416.4,10563014,59661.25,214670,55490,95160,72040,160900,59550,28,2,2,3,53,9
Romania,2009,125213.9,20440290,97436.65,255800,126400,162550,442900,278400,204840,37,3,2,5,15,12
Slovenia,2009,36254.9,2032362,12181.23,48550,14480,17290,10220,40640,20140,5,1,0,1,2,1
Slovakia,2009,64095.5,5382401,37455.43,88070,23250,29780,62720,125210,28930,10,1,1,1,2,4
Finland,2009,181747,5326314,34567.27,176430,22210,37470,58910,111310,36260,17,1,1,3,21,17
Sweden,2009,314637.5,9256347,17473.73,164020,26010,44010,27060,180710,54120,9,1,1,1,12,3
Norway,2009,278246.6,4799252,25553.22,204450,31980,40660,14830,165220,30820,5,1,0,1,0,4
Switzerland,2009,402236.6,7701856,49949,85590,9380,17170,10370,103090,58950,18,1,1,0,0,0
United Kingdom,2009,1738066.5,62042343,594658.93,1271800,114400,173560,452070,920880,257980,100,5,6,17,143,45
Belgium,2010,363140.1,10839905,133287.74,244710,30690,39660,60620,144060,73150,40,2,2,2,10,14
Bulgaria,2010,38284.9,7421766,47022.53,125270,30890,52880,386870,85340,43230,63,2,1,3,7,5
Czechia,2010,157920.8,10462088,133493.58,248030,45020,57510,163850,254600,91470,23,1,3,2,8,11
Denmark,2010,243165.4,5534738,66274.7,149680,21270,32690,15440,131160,80740,13,1,0,0,5,2
Germany,2010,2564400,81802257,921074.03,1470970,119740,227770,405400,1361410,618910,171,13,11,7,154,74
Estonia,2010,14741.1,1333290,16345.42,42340,13840,23300,83290,23010,10090,41,1,1,11,7,11
Ireland,2010,167391.4,4549428,69778.9,121630,16240,35050,26670,111000,114830,6,0,0,1,10,2
Greece,2010,224124,11119289,115467.93,363540,47670,90830,230480,215060,71250,31,5,2,2,60,7
Spain,2010,1072709,46486619,321431.93,910590,137200,201710,242880,616820,435480,119,8,4,12,92,27
France,2010,1995289,64658856,469112.97,1143890,189410,272800,269200,1205870,617780,112,3,5,8,87,39
Croatia,2010,45578,4302847,21059.34,72250,38210,49520,35130,91890,42290,8,1,1,1,8,3
Italy,2010,1611279.4,59190143,476268.25,934180,196200,234400,221580,1117290,377110,218,5,8,17,41,40
Cyprus,2010,19410,819140,9183.7,18840,1580,3140,21740,12990,9560,1,0,0,0,7,0
Latvia,2010,17937.5,2120504,9938.69,39840,22080,29980,4340,44560,15200,164,1,0,16,6,2
Lithuania,2010,28033.8,3141976,10327.02,55560,7980,13740,17910,58230,36760,3,0,0,0,4,1
Luxembourg,2010,42402.7,502066,12137.61,39370,1850,2500,1770,11810,5610,1,0,0,0,0,0
Hungary,2010,99813.8,10014324,61605.08,147740,51440,73870,30360,131680,71250,8,2,1,2,3,11
Malta,2010,6815.8,414027,2956.11,10440,600,1160,8000,3650,1680,4,0,0,0,0,0
Netherlands,2010,639187,16574989,216967.41,349920,22700,35780,35760,268020,133910,38,5,1,1,2,4
Austria,2010,295896.6,8351643,80372.54,204450,19810,32030,15990,137900,62880,20,1,1,0,0,0
Poland,2010,362190.9,38022869,377611.36,877450,151500,271260,816620,738130,316320,303,9,9,18,107,40
Portugal,2010,179610.8,10573479,60044.07,197660,55510,88610,63090,162130,58990,29,2,2,2,46,9
Romania,2010,125472.3,20294683,94626.85,241680,129770,166830,355600,267560,186500,44,4,2,5,14,13
Slovenia,2010,36363.9,2046976,12485.4,48000,14540,16870,10430,39910,19540,5,1,0,1,2,2
Slovakia,2010,68492.1,5390410,39022.01,86160,26090,32000,67710,124660,28820,10,1,1,1,2,5
Finland,2010,188143,5351427,53961.71,187290,23790,39050,66100,113400,36590,20,1,1,3,23,26
Sweden,2010,374695.2,9340682,21670.73,168790,26220,44290,28800,176700,54690,10,1,1,1,14,5
Norway,2010,323760.9,4858199,31222.87,208960,34580,43370,18950,168630,30530,6,1,0,2,0,4
Switzerland,2010,455933.7,7785806,51884.86,84880,9200,17050,10480,100220,59060,17,1,1,0,0,0
United Kingdom,2010,1872175.5,62510197,608931.55,1245370,123060,190330,460470,880200,261290,102,5,7,17,144,41
Belgium,2011,375967.8,11000638,122847.37,227380,24820,33310,53250,132200,71880,30,2,2,2,9,12
Bulgaria,2011,41478.9,7369431,55695.63,132670,32850,56510,513990,87570,42620,67,2,1,4,7,6
Czechia,2011,165202.2,10486731,131723.06,237150,43300,55450,167470,243310,91620,21,1,3,2,7,11
Denmark,2011,247879.9,5560628,60597.01,140230,19260,30290,14070,124800,78140,13,1,0,0,4,2
Germany,2011,2693560,80222065,895267.37,1444520,114940,226590,389300,1272640,624760,169,13,10,7,142,75
Estonia,2011,16677.3,1329660,16311.88,40650,18180,34400,72700,22830,10210,40,1,1,11,6,10
Ireland,2011,171703.2,4570881,64760.84,108720,14510,28510,24870,108150,110450,6,0,0,1,7,2
Greece,2011,203308.2,11123392,112397.74,325880,47450,78170,159630,200250,70320,30,5,2,2,56,9
Spain,2011,1063763,46667174,321187.92,903040,138810,201110,279370,592550,423370,98,8,4,13,80,27
France,2011,2058369,64978721,444806.44,1086340,160810,244100,221880,1128780,607120,99,3,5,6,67,34
Croatia,2011,45378.6,4289857,22036.76,68710,36510,48350,29160,86590,43630,8,1,1,1,7,3
Italy,2011,1648755.8,59364690,471621.16,896240,149170,186150,199330,1026270,378670,229,5,9,18,39,41
Cyprus,2011,19803,839751,8827.59,21530,1420,2830,20740,10980,9430,1,0,0,0,9,0
Latvia,2011,19666,2074605,8737.42,37050,22420,32420,4290,44980,15340,4,1,0,0,1,1
Lithuania,2011,31317.2,3052588,10750.6,54540,9130,13580,18850,56810,36090,3,0,0,0,3,1
Luxembourg,2011,44323.5,511840,11845.11,40100,1650,2300,1330,11720,5440,2,0,0,0,0,0
Hungary,2011,102193.5,9985722,60235.72,138160,57240,76680,34180,134970,72130,10,2,1,2,3,12
Malta,2011,6924.6,414989,2947.95,8650,580,1170,7880,3290,1470,3,0,0,0,0,0
Netherlands,2011,650359,16655799,202647.13,333080,21440,34800,34560,264450,131760,23,3,1,1,3,4
Austria,2011,310128.7,8375164,77848.51,195980,18670,31070,15180,132920,62320,20,1,1,0,0,0
Poland,2011,379860,38062718,371042.63,858640,144540,258260,771130,727700,314720,300,9,9,18,100,39
Portugal,2011,176096.2,10572721,57359.43,180980,56990,95380,57100,152210,59280,28,2,1,2,38,8
Romania,2011,131841.6,20199059,101231.29,250500,119550,158140,326000,258700,187180,44,4,3,6,16,12
Slovenia,2011,37058.6,2050189,12508,47150,14390,16300,11430,37380,18810,5,1,0,1,2,2
Slovakia,2011,71477.1,5392446,37726.94,78510,24110,29820,67030,122080,27990,10,1,1,1,2,5
Finland,2011,197998,5375276,45936.45,171300,20870,36020,60220,103930,35340,19,1,1,3,20,17
Sweden,2011,412844.7,9415570,17354.07,161920,25600,45230,26230,174230,54290,9,1,0,1,11,6
Norway,2011,358339.5,4920305,28976.22,209990,32270,40930,18830,159800,29980,6,1,0,2,0,4
Switzerland,2011,520201.4,7870134,49452.91,80780,8250,16100,8440,96730,57890,17,1,1,0,0,0
United Kingdom,2011,1912869.3,63022532,563180.23,1165840,110800,172630,432560,864920,259040,101,5,6,17,131,41
Belgium,2012,386174.7,11075889,120090.76,216460,25050,33590,47400,128620,71760,29,1,1,1,7,11
Bulgaria,2012,42256.8,7327224,51234.67,128600,33080,55490,327840,86470,43070,69,2,1,3,6,5
Czechia,2012,162587.5,10505445,127620.82,224210,43610,55550,160170,237460,85850,22,1,3,1,6,11
Denmark,2012,254578,5580516,55485.82,129440,18190,28960,12660,119530,76250,12,1,0,0,4,2
Germany,2012,2745310,80327900,890853.07,1436060,113520,224280,371900,1256830,630590,161,12,10,7,140,75
Estonia,2012,17916.7,1325217,16476.44,37490,8630,14060,42900,23150,10360,36,1,1,10,6,9
Ireland,2012,175615.4,4589287,64990.97,111250,14250,28700,23500,109280,117080,6,0,0,1,6,2
Greece,2012,188380.6,11086406,109185.51,285370,48940,76040,142700,193010,68180,27,4,2,2,59,9
Spain,2012,1031099,46818219,315953.18,861040,122290,179250,283230,567890,418410,91,7,5,11,65,28
France,2012,2088804,65276983,443771.93,1060170,164140,247330,219690,1075930,608030,101,3,4,6,60,34
Croatia,2012,44483.6,4275984,20712.13,62640,35430,47070,24560,81100,42050,7,1,0,1,6,2
Italy,2012,1624358.7,59394207,461385.79,847630,176250,211250,180190,1030470,389410,222,5,9,17,36,40
Cyprus,2012,19440.8,862011,8308.08,20950,1110,2180,16030,10470,8910,0,0,0,0,9,0
Latvia,2012,22097.5,2044813,7196.52,37060,22980,32660,4430,45180,16260,5,1,0,0,1,1
Lithuania,2012,33410.2,3003641,11265.83,55140,8120,13900,16680,56290,35840,3,0,0,0,4,1
Luxembourg,2012,46526.2,524853,11505.8,37460,1630,2280,1530,12040,5280,2,0,0,0,0,0
Hungary,2012,100281.2,9931925,56324.08,131330,59860,75430,30400,136140,71540,9,2,1,2,3,11
Malta,2012,7364.5,417546,3130.58,9510,590,1170,7740,3180,1470,10,0,0,0,0,0
Netherlands,2012,652966,16730348,198354.78,314360,19780,32880,34550,258250,125700,16,3,1,1,2,4
Austria,2012,318653,8408121,75803.62,190500,18200,30450,14790,130740,62600,20,1,1,0,0,0
Poland,2012,387947,38063792,363314.62,819690,140290,249930,738850,704370,304970,313,9,10,18,94,39
Portugal,2012,168295.6,10542398,56785.84,167330,54000,86020,52380,148380,57470,26,2,1,2,33,8
Romania,2012,132711.2,20095996,96676.89,246300,122510,163240,260970,258930,182980,41,3,2,5,14,12
Slovenia,2012,36253.3,2055496,11983.98,45610,13840,15660,10650,35890,18660,5,1,0,1,2,1
Slovakia,2012,73360.8,5404322,34338.79,76360,25710,31260,57000,118280,29920,11,1,1,1,2,5
Finland,2012,201037,5401267,37762.58,161520,20800,34890,49960,101570,35240,16,1,1,3,19,19
Sweden,2012,430037.1,9482855,14044.81,155730,23980,41570,25630,165960,53430,9,1,0,1,10,5
Norway,2012,396523.5,4985870,32050.38,205850,32600,42600,17160,161030,30260,6,1,0,1,0,4
Switzerland,2012,538439,7954662,49552.19,81090,8070,15920,8670,95230,57160,17,1,1,0,0,0
United Kingdom,2012,2111028.9,63495088,579630.69,1192240,116170,172670,468140,854150,258080,105,5,6,17,133,42
Belgium,2013,392880,11137974,119542.68,207270,25720,34580,43000,124960,71040,26,1,1,1,5,6
Bulgaria,2013,42050.2,7284552,48278.55,111520,31780,52160,193740,82530,44400,72,2,1,3,6,5
Czechia,2013,159461.5,10516125,122902.85,211590,44090,55810,145220,234910,95060,23,1,3,2,5,10
Denmark,2013,258742.7,5602628,56863.29,124750,17960,28720,12770,120510,73650,12,1,0,0,4,2
Germany,2013,2811350,80523746,910652.86,1436360,111730,225590,360520,1212400,636980,163,12,10,7,135,74
Estonia,2013,18910.8,1320174,19769.32,36250,12000,20290,41690,22530,10610,42,1,1,11,7,11
Ireland,2013,179457.6,4609779,65450.61,113050,14790,29200,23760,111130,117920,6,0,0,1,7,2
Greece,2013,179884.4,11003615,101079.22,273550,44290,72240,121760,175770,68120,25,4,2,2,50,8
Spain,2013,1020348,46727890,290251.74,762280,135360,190940,219360,555570,421960,96,7,4,14,53,25
France,2013,2117189,65600350,441014.42,1039590,163660,245630,201290,1066990,605140,98,3,4,7,53,34
Croatia,2013,44329.4,4262140,18743.81,61430,34560,46960,17190,76660,35440,8,1,0,0,5,2
Italy,2013,1612751.3,59685227,410809.33,778760,170000,203980,149210,999310,375840,204,5,8,17,31,36
Cyprus,2013,17995,865878,7572.23,15350,960,1790,13500,8880,8240,0,0,0,0,5,0
Latvia,2013,22791.3,2023825,8379.97,36400,21070,30130,3920,43900,16730,4,1,0,0,0,1
Lithuania,2013,35039.5,2971905,10623.48,51620,6550,12140,14320,54870,34440,3,0,0,0,2,1
Luxembourg,2013,49094.5,537039,10795.61,34100,1580,2220,1590,11610,5270,1,0,0,0,0,0
Hungary,2013,102276.1,9908798,54184.61,127350,59560,78730,29220,133230,73460,9,2,1,2,2,8
Malta,2013,7944.3,422509,2793.53,7870,500,1010,5000,3600,1530,3,0,0,0,0,0
Netherlands,2013,660463,16779575,198421.21,301360,19220,32210,30430,255740,125180,14,3,1,1,2,4
Austria,2013,323910.2,8451860,77234.52,189750,17610,29810,14370,124840,62660,21,1,1,0,0,0
Poland,2013,392310.7,38062535,356792.71,776250,133690,237390,702400,652400,309650,305,9,10,18,84,38
Portugal,2013,170492.3,10487289,56135.19,163340,51700,74890,48130,145650,55890,26,2,1,2,27,8
Romania,2013,143690.4,20020074,84865.02,226530,114980,153210,210090,250700,184760,37,3,2,4,13,11
Slovenia,2013,36454.3,2058821,12843.11,42890,13940,15650,9630,35030,18410,5,1,0,1,2,1
Slovakia,2013,74217.3,5410836,33339.16,74230,24040,29690,51740,116140,30120,11,1,1,1,2,4
Finland,2013,204321,5426674,44448.85,158390,19690,34330,47610,96240,34590,16,1,1,3,17,18
Sweden,2013,441850.7,9555893,14522.34,152820,23290,42800,23290,158240,54550,8,1,0,1,9,5
Norway,2013,393408.7,5051275,31794.1,198830,28490,37140,17460,159800,30590,6,1,0,1,0,4
Switzerland,2013,536632.9,8039060,50897.18,80890,7830,15760,8000,92590,56280,17,1,1,0,0,0
United Kingdom,2013,2096338,63905342,566005.54,1130030,118710,181640,405250,825630,254820,99,5,6,19,139,43
Belgium,2014,403003.3,11180840,113869.55,197170,20880,29490,40600,118340,69490,23,1,2,1,5,6
Bulgaria,2014,43026,7245677,50308.75,118410,30880,51710,186700,78250,45180,81,3,1,4,6,6
Czechia,2014,157821.3,10512419,120804.39,208570,41560,53080,134460,230950,98260,23,1,3,1,6,11
Denmark,2014,265757,5627235,53368,115290,16510,28020,10710,112040,73180,12,1,0,0,3,2
Germany,2014,2927430,80767463,871833.82,1391550,103950,217540,339280,1173850,644690,159,12,10,7,128,75
Estonia,2014,20048.2,1315819,19420.86,35260,8740,15220,46810,22450,10730,39,1,1,10,6,10
Ireland,2014,195085.2,4637852,64634.73,112090,14000,28280,17590,108180,114250,6,0,0,1,7,2
Greece,2014,177236,10926807,99131.01,269070,44960,75540,104470,171970,65020,27,4,2,3,34,15
Spain,2014,1032158,46512199,290354.23,767860,120110,175230,240790,556850,443620,98,7,4,11,46,26
France,2014,2149765,66165980,416199.3,969020,140430,219440,158190,1050320,609430,93,3,5,6,47,31
Croatia,2014,43918.6,4246809,18135.63,58110,30000,41140,13910,70060,33980,8,1,0,0,4,2
Italy,2014,1627405.6,60782668,388805.5,756150,152390,186190,132730,927650,364370,207,4,8,17,30,35
Cyprus,2014,17430.2,858000,7942.9,16130,910,1660,16700,8430,8270,0,0,0,0,5,0
Latvia,2014,23625.8,2001468,12124.84,35990,20590,29830,3890,44280,17210,3,1,0,0,0,1
Lithuania,2014,36581.3,2943472,11516.61,52300,6210,11880,12900,53500,36900,3,0,0,0,2,1
Luxembourg,2014,51791.3,549680,10397.08,31970,1560,2210,1610,10940,5410,2,0,0,0,0,0
Hungary,2014,106297.8,9877365,53516.45,125570,50290,73700,25860,124160,74270,8,2,1,2,2,9
Malta,2014,8751.1,429424,2796.46,7860,590,1190,4720,3040,1470,5,0,0,0,0,0
Netherlands,2014,671560,16829289,190489.59,281030,18440,31520,30220,243470,128590,9,3,1,1,2,4
Austria,2014,333146.1,8507786,73849.42,181980,16050,28310,14530,118170,63410,20,1,1,0,0,0
Poland,2014,408967.8,38017856,351726.81,724460,126150,225430,659710,648300,304220,307,9,9,18,82,37
Portugal,2014,173053.7,10427301,53977.84,160340,50890,68670,43550,150890,58250,26,2,1,2,22,8
Romania,2014,150708.6,19947311,81226.92,222080,115050,153460,183220,245330,186090,38,3,2,4,11,11
Slovenia,2014,37634.3,2061085,17224.3,38720,12060,13750,7700,32460,18310,4,1,0,1,1,1
Slovakia,2014,76092.7,5415949,33365.55,74740,16360,21730,44420,97740,30110,11,1,1,1,2,4
Finland,2014,206897,5451270,37742.26,150710,19380,33810,44250,93660,35150,17,1,1,3,17,23
Sweden,2014,438833.9,9644864,12796.14,151050,20240,38510,20610,154210,54540,9,1,0,1,8,5
Norway,2014,375947.3,5107970,35943.02,191130,25830,34390,17330,169460,30170,6,0,0,1,0,5
Switzerland,2014,553942.2,8139631,48671.07,76940,7020,14920,7250,89170,56530,15,1,1,0,0,0
United Kingdom,2014,2311080.2,64351203,525617.22,1057360,112170,173040,331350,820690,266710,107,5,5,18,140,43
Belgium,2015,416701.4,11237274,118107.4,197880,22190,30960,40980,117530,70050,29,2,1,1,5,6
Bulgaria,2015,45812.3,7202198,54188.37,115560,31500,55330,142370,80570,45110,74,2,1,3,6,6
Czechia,2015,169558.2,10538275,122277.33,204340,41050,52490,129340,230040,106880,20,1,2,2,5,10
Denmark,2015,273017.6,5659715,49733.03,113930,17130,26940,9980,114970,75090,12,1,0,0,3,2
Germany,2015,3026180,81197537,877518.95,1363900,102510,214200,336000,1147280,640690,165,12,9,7,135,76
Estonia,2015,20631.4,1314870,15908.68,30670,9550,14490,36050,22050,10450,31,1,1,8,5,8
Ireland,2015,262975.9,4677627,67743.25,114590,14080,28800,15890,108870,119560,6,0,0,1,6,3
Greece,2015,176368.9,10858018,91705.29,262940,42540,69590,101650,164820,64230,10,2,1,3,40,15
Spain,2015,1077590,46449565,299448.05,772270,127780,186400,257670,577170,452710,96,7,4,12,43,27
France,2015,2198432,66458153,423346.42,949050,141460,221690,151020,1023420,616380,86,3,4,5,42,31
Croatia,2015,45186.2,4225316,18920.09,58430,32900,43990,15780,71270,37520,8,1,0,0,4,2
Italy,2015,1655355,60795612,398666.49,718630,157760,191180,126710,900670,364330,199,4,7,9,30,35
Cyprus,2015,17884,847008,7992.39,13860,940,1710,12820,8770,8120,0,0,0,0,5,0
Latvia,2015,24572.1,1986096,10909.89,35210,17940,28630,3580,41590,17040,3,1,0,0,0,1
Lithuania,2015,37345.7,2921262,12459.42,53940,5700,11670,14890,52220,37280,2,0,0,0,2,1
Luxembourg,2015,54142.3,562958,9966.86,28440,1340,2110,1400,10660,5450,2,0,0,0,0,0
Hungary,2015,112823.6,9855571,55839.49,127610,52660,74780,23770,128400,78430,9,2,1,2,2,11
Malta,2015,9996.7,439691,2119.11,6790,440,930,2160,2970,1460,1,0,0,0,0,0
Netherlands,2015,690008,16900726,197619.1,282110,17840,31060,30980,251080,130870,9,3,1,1,2,4
Austria,2015,344269.2,8584926,76285.63,178980,15830,27900,14130,113050,64200,20,1,1,0,0,0
